id,code_gender,flag_own_car,flag_own_realty,cnt_children,amt_income_total,occupation_type,age,employment_period,months_balance,months_from_today,status_y
5009043,F,N,Y,0,1.485,Core staff,48.33,2.44,-2,2,0
5009044,F,N,Y,0,1.485,Core staff,48.33,2.44,-4,4,0
5009045,F,N,Y,0,1.485,Core staff,48.33,2.44,-3,3,0
5009046,F,N,Y,0,1.485,Core staff,48.33,2.44,0,0,0
5009047,F,N,Y,0,1.485,Core staff,48.33,2.44,0,0,0
5009050,F,N,Y,2,2.025,Core staff,30.13,6.27,-21,21,0
5009051,F,N,Y,2,2.025,Core staff,30.13,6.27,-14,14,0
5009052,F,N,Y,2,2.025,Core staff,30.13,6.27,0,0,0
5009053,F,N,Y,2,2.025,Core staff,30.13,6.27,-38,38,0
5009055,F,N,Y,2,2.025,Core staff,30.13,6.27,-42,42,1
5009056,M,N,Y,0,2.025,Drivers,24.28,2.44,-15,15,0
5009057,M,N,Y,0,2.025,Drivers,24.28,2.44,0,0,0
5009058,F,Y,Y,0,1.125,Private service staff,20.52,2.18,0,0,1
5009060,F,N,Y,0,0.945,No Occupation Type,61.18,-1000.67,0,0,0
5009062,M,Y,Y,0,3.15,Sales staff,28.63,5.69,-8,8,0
5009063,M,Y,Y,0,3.15,Sales staff,28.63,5.69,0,0,0
5009064,M,Y,Y,0,3.15,Sales staff,28.63,5.69,0,0,1
5009065,M,Y,Y,0,3.15,Sales staff,28.63,5.69,0,0,1
5009066,M,Y,Y,0,3.15,Sales staff,28.63,5.69,0,0,0
5009067,M,Y,Y,0,3.15,Sales staff,28.63,5.69,-32,32,0
5009068,M,Y,Y,0,3.15,Sales staff,28.63,5.69,0,0,0
5009069,M,Y,Y,0,3.15,Sales staff,28.63,5.69,0,0,0
5009070,M,Y,Y,0,3.15,Sales staff,28.63,5.69,-2,2,0
5009071,F,Y,Y,0,2.7,High skill tech staff,28.12,8.69,0,0,0
5009072,F,Y,Y,0,2.7,High skill tech staff,28.12,8.69,-20,20,0
5009074,F,Y,Y,1,4.5,Core staff,48.56,1.94,0,0,0
5009075,F,Y,Y,1,4.5,Core staff,48.56,1.94,-5,5,0
5009078,M,N,Y,1,1.8,Drivers,38.69,3.52,0,0,0
5009079,F,N,Y,0,1.125,Laborers,27.57,8.69,0,0,0
5009080,F,N,Y,0,1.125,Laborers,27.57,8.69,0,0,0
5009081,F,N,Y,0,1.125,Laborers,27.57,8.69,-3,3,0
5009083,M,N,Y,0,0.9,Drivers,56.25,15.7,-4,4,1
5009084,M,N,Y,0,0.9,Drivers,56.25,15.7,0,0,0
5009088,M,Y,N,2,2.025,Laborers,40.36,8.19,-6,6,0
5009089,M,Y,N,2,2.025,Laborers,40.36,8.19,0,0,0
5009090,M,Y,Y,0,2.475,Drivers,34.6,11.03,0,0,0
5009092,M,Y,Y,1,7.65,Managers,33.42,3.27,0,0,0
5009094,M,Y,Y,1,7.65,Managers,33.42,3.27,0,0,0
5009095,M,Y,Y,1,7.65,Managers,33.42,3.27,0,0,0
5009096,F,N,Y,1,2.7,Accountants,37.48,12.03,0,0,0
5009097,F,N,Y,1,2.7,Accountants,37.48,12.03,-19,19,0
5009098,F,N,Y,1,2.7,Accountants,37.48,12.03,0,0,0
5009099,F,N,Y,0,3.15,Managers,36.36,1.52,-28,28,0
5009100,F,N,Y,0,3.15,Managers,36.36,1.52,0,0,0
5009103,M,Y,Y,2,1.575,Drivers,35.23,11.11,0,0,0
5009104,M,Y,Y,2,1.575,Drivers,35.23,11.11,0,0,1
5009105,M,Y,Y,2,1.575,Drivers,35.23,11.11,0,0,1
5009106,M,Y,Y,2,1.575,Drivers,35.23,11.11,0,0,1
5009108,M,N,Y,0,3.6,Security staff,41.98,7.53,0,0,0
5009109,M,N,Y,0,3.6,Security staff,41.98,7.53,0,0,0
5009110,F,N,Y,0,1.125,High skill tech staff,24.22,0.85,0,0,0
5009116,F,N,N,0,1.575,No Occupation Type,43.12,1.18,-23,23,0
5009117,F,N,N,0,1.575,No Occupation Type,43.12,1.18,0,0,0
5009118,F,N,N,0,1.575,No Occupation Type,43.12,1.18,-31,31,0
5009120,F,N,N,0,1.575,No Occupation Type,43.12,1.18,-44,44,0
5009122,F,N,N,0,1.575,No Occupation Type,43.12,1.18,-37,37,0
5009123,F,N,N,0,1.575,No Occupation Type,43.12,1.18,0,0,0
5009124,F,N,N,0,1.575,No Occupation Type,43.12,1.18,-13,13,0
5009125,F,N,N,0,1.575,No Occupation Type,43.12,1.18,0,0,0
5009126,F,N,N,0,1.575,No Occupation Type,43.12,1.18,-23,23,0
5009127,F,N,N,0,1.575,No Occupation Type,43.12,1.18,0,0,0
5009128,F,N,N,0,1.575,No Occupation Type,43.12,1.18,-2,2,0
5009129,F,N,N,0,1.575,No Occupation Type,43.12,1.18,0,0,0
5009130,F,N,N,0,1.575,No Occupation Type,43.12,1.18,0,0,0
5009131,F,N,N,0,1.575,No Occupation Type,43.12,1.18,-11,11,0
5009133,M,N,Y,0,3.825,No Occupation Type,59.38,-1000.67,0,0,0
5009134,M,N,Y,0,3.825,No Occupation Type,59.38,-1000.67,0,0,0
5009135,M,N,Y,0,3.825,No Occupation Type,59.38,-1000.67,-46,46,0
5009136,M,N,Y,0,3.825,No Occupation Type,59.38,-1000.67,0,0,0
5009137,M,N,Y,0,3.825,No Occupation Type,59.38,-1000.67,-2,2,0
5009138,M,N,Y,0,3.825,No Occupation Type,59.38,-1000.67,-6,6,0
5009139,M,N,Y,0,3.825,No Occupation Type,59.38,-1000.67,0,0,0
5009140,M,N,Y,0,3.825,No Occupation Type,59.38,-1000.67,-9,9,0
5009141,F,N,N,0,1.35,Managers,26.46,4.27,0,0,0
5009142,F,N,N,0,1.35,Managers,26.46,4.27,0,0,0
5009143,M,Y,N,0,2.25,No Occupation Type,50.11,-1000.67,0,0,0
5009144,M,Y,N,0,2.25,No Occupation Type,50.11,-1000.67,-5,5,0
5009145,M,Y,N,0,3.15,Managers,43.36,10.19,-1,1,0
5009146,M,Y,N,0,3.15,Managers,43.36,10.19,-11,11,0
5009147,M,Y,N,0,3.15,Managers,43.36,10.19,0,0,0
5009149,M,Y,N,0,3.15,Managers,43.36,10.19,0,0,0
5009150,M,Y,N,0,3.15,Managers,43.36,10.19,0,0,0
5009151,F,N,N,0,1.8,Sales staff,53.63,7.95,0,0,0
5009152,F,N,N,0,1.8,Sales staff,53.63,7.95,0,0,0
5009153,F,N,N,0,1.8,Sales staff,53.63,7.95,-6,6,0
5009154,F,N,N,0,1.8,Sales staff,53.63,7.95,0,0,0
5009155,F,N,N,0,1.8,Sales staff,53.63,7.95,0,0,0
5009156,F,N,N,0,1.8,Sales staff,53.63,7.95,0,0,0
5009157,F,N,N,0,1.8,Sales staff,53.63,7.95,-8,8,0
5009158,F,N,N,0,1.8,Sales staff,53.63,7.95,0,0,0
5009159,F,N,N,0,1.8,Sales staff,53.63,7.95,0,0,0
5009160,F,N,N,0,1.8,Sales staff,53.63,7.95,0,0,0
5009161,F,N,N,0,1.8,Sales staff,53.63,7.95,0,0,0
5009162,F,N,N,0,1.8,Sales staff,53.63,7.95,-9,9,0
5009163,F,N,N,0,1.575,Sales staff,35.38,8.7,0,0,0
5009164,F,N,N,0,1.575,Sales staff,35.38,8.7,-13,13,0
5009165,F,N,N,0,1.575,Sales staff,35.38,8.7,-25,25,0
5009166,F,N,N,0,1.575,Sales staff,35.38,8.7,0,0,0
5009168,F,N,N,0,1.575,Sales staff,35.38,8.7,-22,22,0
5009170,F,Y,N,0,1.44,No Occupation Type,62.68,-1000.67,-17,17,0
5009177,M,Y,N,0,2.295,Laborers,50.21,3.44,0,0,0
5009178,M,Y,N,0,2.295,Laborers,50.21,3.44,0,0,0
5009179,M,Y,N,0,2.295,Laborers,50.21,3.44,-39,39,1
5009180,M,Y,N,0,2.295,Laborers,50.21,3.44,0,0,0
5009181,M,Y,N,0,2.295,Laborers,50.21,3.44,0,0,0
5009182,M,Y,N,0,2.295,Laborers,50.21,3.44,0,0,0
5009183,M,Y,N,0,2.295,Laborers,50.21,3.44,0,0,1
5009186,F,N,N,0,2.7,Managers,48.15,15.87,0,0,0
5009187,F,N,N,0,2.7,Managers,48.15,15.87,0,0,0
5009188,F,N,N,0,2.7,Managers,48.15,15.87,0,0,0
5009189,F,N,N,0,2.7,Managers,48.15,15.87,0,0,0
5009190,F,N,N,0,2.7,Managers,48.15,15.87,0,0,0
5009191,F,N,N,0,2.7,Managers,48.15,15.87,-12,12,0
5009192,F,N,N,0,2.7,Managers,48.15,15.87,0,0,0
5009193,F,N,N,0,2.7,Managers,48.15,15.87,-7,7,0
5009195,F,N,N,0,2.925,Accountants,57.41,23.79,-15,15,0
5009196,F,N,N,0,2.925,Accountants,57.41,23.79,-14,14,0
5009198,F,N,N,0,2.925,Accountants,57.41,23.79,-3,3,0
5009201,F,N,N,0,2.925,Accountants,57.41,23.79,0,0,1
5009202,F,N,N,0,2.925,Accountants,57.41,23.79,0,0,0
5009203,F,N,N,0,2.925,Accountants,57.41,23.79,-1,1,1
5009204,F,N,N,0,2.925,Accountants,57.41,23.79,0,0,0
5009205,F,N,N,0,2.925,Accountants,57.41,23.79,0,0,1
5009206,F,N,N,0,2.925,Accountants,57.41,23.79,0,0,0
5009207,F,N,N,0,2.925,Accountants,57.41,23.79,-1,1,0
5009208,F,N,N,0,2.925,Accountants,57.41,23.79,0,0,1
5009209,F,N,N,0,2.925,Accountants,57.41,23.79,0,0,0
5009210,F,N,N,0,2.925,Accountants,57.41,23.79,-56,56,0
5009213,F,N,N,0,2.7,Accountants,33.79,2.36,0,0,1
5009215,F,N,N,0,2.7,Accountants,33.79,2.36,0,0,0
5009216,F,N,N,0,2.7,Accountants,33.79,2.36,0,0,0
5009217,F,N,N,0,2.7,Accountants,33.79,2.36,0,0,0
5009220,F,Y,N,0,2.25,Managers,40.18,2.19,0,0,0
5009222,F,Y,N,0,2.25,Managers,40.18,2.19,-12,12,0
5009223,F,Y,N,0,2.25,Managers,40.18,2.19,-10,10,0
5009224,F,Y,N,0,2.25,Managers,40.18,2.19,0,0,0
5009225,F,Y,N,0,2.25,Managers,40.18,2.19,-12,12,1
5009226,F,Y,N,0,2.25,Managers,40.18,2.19,0,0,0
5009227,F,Y,N,0,2.25,Managers,40.18,2.19,0,0,0
5009232,F,Y,N,0,2.25,Managers,40.18,2.19,0,0,1
5009233,F,Y,N,0,2.25,Managers,40.18,2.19,-3,3,0
5009234,F,Y,N,0,2.25,Managers,40.18,2.19,0,0,1
5009236,F,Y,N,0,2.25,Managers,40.18,2.19,0,0,0
5009238,M,Y,N,0,1.575,Drivers,29.07,2.69,-4,4,0
5009239,M,Y,N,0,1.575,Drivers,29.07,2.69,0,0,0
5009240,M,Y,N,0,1.575,Drivers,29.07,2.69,-9,9,0
5009241,M,Y,N,0,1.575,Drivers,29.07,2.69,0,0,0
5009242,F,N,N,0,0.7425,Core staff,52.28,14.36,0,0,0
5009243,F,N,N,0,0.7425,Core staff,52.28,14.36,0,0,0
5009244,F,N,N,0,0.7425,Core staff,52.28,14.36,0,0,1
5009246,F,N,N,0,1.35,No Occupation Type,38.91,5.86,0,0,1
5009247,F,N,N,0,1.35,No Occupation Type,38.91,5.86,-36,36,0
5009248,F,N,N,0,1.35,No Occupation Type,38.91,5.86,0,0,0
5009249,M,Y,N,1,1.35,Drivers,27.28,2.52,0,0,0
5009250,M,Y,N,1,1.35,Drivers,27.28,2.52,0,0,0
5009251,M,Y,N,1,1.35,Drivers,27.28,2.52,0,0,0
5009252,M,Y,N,1,1.35,Drivers,27.28,2.52,0,0,0
5009253,M,Y,N,1,1.35,Drivers,27.28,2.52,0,0,0
5009255,F,N,N,0,1.44,Cleaning staff,43.75,24.62,0,0,0
5009257,F,N,N,0,1.44,Cleaning staff,43.75,24.62,-10,10,0
5009258,F,N,N,0,1.44,Cleaning staff,43.75,24.62,-31,31,0
5009260,F,N,N,0,2.025,Core staff,39.9,3.53,0,0,0
5009261,F,N,N,0,2.025,Core staff,39.9,3.53,-2,2,0
5009262,F,N,N,0,2.025,Core staff,39.9,3.53,0,0,0
5009263,F,N,N,0,2.025,Core staff,39.9,3.53,0,0,0
5009264,F,N,N,0,0.405,No Occupation Type,57.78,-1000.67,-10,10,0
5009265,M,Y,N,0,3.375,Managers,28.13,4.53,-12,12,0
5009266,M,Y,N,0,3.375,Managers,28.13,4.53,0,0,0
5009267,M,Y,N,0,3.375,Managers,28.13,4.53,0,0,0
5009268,M,Y,N,0,3.375,Managers,28.13,4.53,0,0,0
5009269,M,Y,N,0,3.375,Managers,28.13,4.53,0,0,0
5009270,M,N,N,0,1.8,Laborers,40.5,6.69,0,0,0
5009271,M,N,N,0,1.8,Laborers,40.5,6.69,-10,10,0
